"stand","firm.value","hypocrisy","purchase_int","age","gender"
"for","values",3.67,4,40,"male"
"for","values",1,4,32,"male"
"for","values",4,4,32,"male"
"for","results",5.67,5.33,39,"male"
"for","results",6.33,4,29,"female"
"for","values",3,4.33,50,"female"
"for","values",1,1,46,"male"
"for","values",4,4,56,"male"
"for","values",3.67,4.33,26,"female"
"for","values",2,3.33,33,"female"
"for","values",3,3,27,"female"
"for","values",2.67,4,64,"female"
"for","values",3.67,2,33,"male"
"for","values",2.67,1,69,"female"
"for","values",2,3.67,27,"male"
"for","values",4.67,5.33,30,"male"
"for","values",2.67,4,47,"female"
"for","results",6.67,1,31,"female"
"for","results",4,4,29,"male"
"for","results",3,1,23,"male"
"for","results",7,1,47,"female"
"for","results",4.33,1.67,36,"male"
"for","results",6.33,1.33,56,"female"
"for","results",5,2.67,27,"male"
"for","results",6.33,2.33,58,"female"
"for","results",5,2,25,"female"
"for","values",2,4,59,"female"
"for","values",2.67,1.67,45,"female"
"for","values",1,4,23,"female"
"for","values",2.33,6,38,"male"
"for","values",1,6.33,37,"male"
"for","values",5.67,6.33,29,"male"
"for","values",1.67,6,34,"female"
"for","values",1.33,7,35,"male"
"for","values",1,7,35,"female"
"for","values",3,4.67,38,"female"
"for","values",1,7,35,"male"
"for","values",1.67,4,30,"female"
"for","values",1,7,40,"female"
"for","results",5.33,6,50,"male"
"for","results",1,7,22,"male"
"for","results",2.67,6,30,"female"
"for","results",2,5.33,45,"female"
"for","results",2.33,5.33,61,"male"
"for","results",4.33,6.33,23,"female"
"for","results",1,4,41,"male"
"for","results",2,6,50,"female"
"for","results",3,4.67,32,"male"
"for","results",1,7,21,"female"
"for","results",3.67,4,26,"male"
"for","results",2.33,4.33,46,"male"
"for","results",1.67,5,61,"male"
"for","results",2.33,5,37,"male"
"for","results",1.33,6,39,"female"
"for","results",2,6,42,"female"
"for","results",3.67,7,30,"male"
"for","results",2.67,5.67,32,"male"
"for","results",2,6.67,63,"female"
"for","results",3.33,5,29,"female"
"no stand","values",6,1,52,"female"
"no stand","values",1,5,31,"female"
"no stand","values",7,1,42,"male"
"no stand","values",2,4.67,32,"female"
"no stand","values",4,4,53,"female"
"no stand","values",2,4,32,"male"
"no stand","values",5,1.33,62,"male"
"no stand","values",6,3.67,29,"male"
"no stand","values",5,3,61,"male"
"no stand","values",6.33,2,30,"male"
"no stand","values",6.67,1,24,"male"
"no stand","values",4,4,22,"male"
"no stand","values",2,5.67,65,"male"
"no stand","values",2,5.33,24,"female"
"no stand","values",5.67,3.33,48,"female"
"no stand","values",2.67,4.67,28,"female"
"no stand","values",4,4,35,"male"
"no stand","values",4.67,4,28,"female"
"no stand","values",4.67,1,41,"female"
"no stand","values",6,2,39,"male"
"no stand","values",2,5.67,23,"female"
"no stand","values",7,1,29,"female"
"no stand","values",5.67,4.33,40,"female"
"no stand","values",2,1,29,"male"
"no stand","values",7,1.67,41,"male"
"no stand","values",4,4,24,"female"
"no stand","values",7,3.33,31,"male"
"no stand","values",1,4,54,"female"
"no stand","results",3.67,4.33,25,"male"
"no stand","results",1,5.67,57,"male"
"no stand","results",3.67,4,24,"female"
"no stand","results",2,4.33,35,"male"
"no stand","results",2,1,22,"male"
"no stand","results",4,3.33,40,"female"
"no stand","results",1,7,44,"female"
"no stand","results",1.67,1,45,"male"
"no stand","results",3.67,3.67,35,"male"
"no stand","results",4,2,66,"female"
"no stand","results",1,5,25,"male"
"no stand","results",1,2,29,"male"
"no stand","results",2.67,5,34,"male"
"no stand","results",2.67,4,21,"male"
"no stand","results",4.67,5.67,27,"male"
"no stand","results",2.33,2.67,58,"female"
"no stand","results",1,5.67,53,"female"
"no stand","results",5,2.67,58,"female"
"no stand","results",4,4,29,"female"
"no stand","results",1,1,47,"female"
"no stand","results",3,3,41,"male"
"no stand","results",3.67,5,26,"male"
"no stand","results",4.33,3,66,"female"
"no stand","results",1.67,4,33,"female"
"no stand","results",2,4,26,"male"
"no stand","results",4.33,2,19,"female"
"no stand","results",1,5.67,30,"female"
"no stand","results",1,5,31,"female"
"against","values",3.33,4,52,"female"
"against","values",1,4,23,"male"
"against","values",2,4,58,"male"
"against","values",2,4.67,24,"female"
"against","values",6,1,39,"female"
"against","values",1,1,42,"male"
"against","values",4,2.67,21,"male"
"against","results",7,1,21,"male"
"against","results",2.67,4.33,53,"male"
"against","results",2.67,1,27,"female"
"against","results",4,1,55,"male"
"against","results",2,5,33,"male"
"against","results",1.67,3.67,29,"male"
"against","results",3.67,2,60,"male"
"against","results",4,1,28,"male"
"against","results",2.33,3.33,55,"male"
"against","values",1,5,37,"male"
"against","values",1,6.33,24,"male"
"against","values",2,6.33,24,"female"
"against","values",2,5,24,"female"
"against","values",2,5,21,"male"
"against","values",1.67,6,32,"female"
"against","values",1,5.67,33,"male"
"against","values",2,6.33,25,"female"
"against","values",1.67,4.67,32,"male"
"against","values",1,6.33,28,"female"
"against","values",1,5,24,"female"
"against","values",6,6,60,"male"
"against","values",1.33,4.67,40,"female"
"against","values",2,5,30,"male"
"against","values",1,6,34,"female"
"against","values",1,7,51,"male"
"against","values",2.33,5,32,"male"
"against","values",1,6.67,48,"male"
"against","values",2,6,30,"female"
"against","values",1,6.67,31,"female"
"against","values",1,5,27,"female"
"against","values",1,7,28,"male"
"against","values",1.33,5.33,60,"male"
"against","values",2.33,5.33,27,"male"
